City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kyaikkami,16.08,97.5675,301.13,76,68,1.02,MM,1682286239
84,vardo,70.3705,31.1107,269.14,100,65,10.29,NO,1682286239
85,turukhansk,65.8167,87.9833,273.27,98,100,4.7,RU,1682286240
86,belyy yar,53.6039,91.3903,269.09,63,36,1.0,RU,1682286240
87,bethel,41.3712,-73.414,289.83,72,75,4.63,US,1682285978
88,korla,41.7597,86.1469,282.06,54,73,0.74,CN,1682286241
89,arraial do cabo,-22.9661,-42.0278,296.07,73,0,1.54,BR,1682286242
90,antoing,50.556,3.4653,282.59,91,79,6.01,BE,1682286242
91,alofi,-19.0595,-169.9187,300.09,69,3,6.17,NU,1682286243
92,luderitz,-26.6481,15.1594,292.05,48,100,1.83,NA,1682286243
93,jamestown,42.097,-79.2353,279.92,66,100,3.6,US,1682286222
94,upernavik,72.7868,-56.1549,273.24,98,100,3.99,GL,1682286244
95,wenling,28.3669,121.36,287.87,90,100,3.75,CN,1682286245
96,chicama,-7.8447,-79.1469,297.45,67,61,3.68,PE,1682286245
97,chokurdakh,70.6333,147.9167,267.57,95,100,3.56,RU,1682286246
98,charters towers,-20.1,146.2667,293.11,78,99,5.46,AU,1682286247
99,makakilo city,21.3469,-158.0858,301.33,64,0,4.63,US,1682286247
100,kailua,21.4022,-157.7394,302.14,65,0,3.09,US,1682286248
101,gambela,8.25,34.5833,297.73,80,99,0.94,ET,1682286248
102,clyde river,70.4692,-68.5914,265.28,86,40,6.17,CA,1682285982
103,kruisfontein,-34.0033,24.7314,292.53,71,100,1.67,ZA,1682285969
104,puksoozero,62.5903,40.6066,272.74,93,99,1.94,RU,1682286250
105,guerande,47.3291,-2.4283,283.83,77,2,8.92,FR,1682286250
106,hilo,19.7297,-155.09,303.31,70,75,4.63,US,1682286223
107,jalu,29.0331,21.5482,298.7,23,0,4.51,LY,1682286251
108,verkhnyaya inta,65.9811,60.3094,266.65,91,60,7.11,RU,1682286252
109,aksarka,66.5606,67.7975,267.9,90,98,8.37,RU,1682286252
110,east london,-33.0153,27.9116,293.27,62,100,3.48,ZA,1682286253
111,chake chake,-5.2459,39.7666,298.23,90,98,2.4,TZ,1682286253
112,sinop,41.7711,34.8709,280.43,93,100,1.14,TR,1682286254
113,guerrero negro,27.9769,-114.0611,293.43,59,10,7.14,MX,1682286254
114,walvis bay,-22.9575,14.5053,291.68,72,100,4.63,NA,1682286255
115,rybnoye,54.7256,39.5119,283.5,46,11,2.75,RU,1682286256
116,san-pedro,4.7485,-6.6363,299.88,87,67,2.19,CI,1682286256
117,galle,6.0367,80.217,300.29,83,100,0.65,LK,1682286000
118,hermanus,-34.4187,19.2345,291.37,91,100,3.91,ZA,1682286221
119,talnakh,69.4865,88.3972,272.71,91,95,3.48,RU,1682286254
120,raudeberg,61.9875,5.1352,277.52,64,100,15.4,NO,1682286258
121,bengkulu,-3.8004,102.2655,298.02,86,23,1.75,ID,1682286259
122,klaksvik,62.2266,-6.589,275.66,64,100,11.26,FO,1682286259
123,genhe,50.7833,121.5167,268.25,65,17,1.07,CN,1682286260
124,saskylakh,71.9167,114.0833,256.78,100,96,2.03,RU,1682286260
125,bossier city,32.516,-93.7321,287.42,70,75,2.57,US,1682286261
126,barrow,71.2906,-156.7887,258.16,78,75,4.63,US,1682286252
127,hithadhoo,-0.6,73.0833,301.54,76,97,2.38,MV,1682286246
128,xiuyan,40.2928,123.2744,280.37,22,100,1.89,CN,1682286262
129,tiksi,71.6872,128.8694,261.54,96,80,1.71,RU,1682286262
130,saint-pierre,-21.3393,55.4781,298.97,73,0,2.57,RE,1682286263
131,camopi,3.1655,-52.3158,296.49,97,87,1.18,GF,1682286263
132,touros,-5.1989,-35.4608,299.48,79,79,5.27,BR,1682286264
133,lososina,48.9975,140.3106,276.59,68,88,2.29,RU,1682286264
134,hearst,49.6835,-83.6665,273.29,92,100,2.53,CA,1682286265
